Council Area,Organisation ,Session Name,Activity Status,Support Type,Delivery Type,Age Group,Day,Start,End,Address,Postcode,Lead Contact,Phone,Email,Website,Self Referral,Cost Type,Cost Amount,Eligibility,Description on Recovery Map,Additional Notes,Category,Start Time,End Time,Time Range,Full Address,lat,lng
Dundee City,Street Soccer Scotland,Adult Drop-In Session,Scheduled Activity,Activity Based,Drop-In,Adults,Tuesday,13:00:00,15:00:00,"Change Centre, South Road, Dundee",DD2 4SR,Justin Mulholland,07301 592676,justin@streetsoccer.org.uk,https://www.streetsoccer.org.uk/scotland/change-centre/,Yes,Free,,Age 16 +  from vulnerable backgrounds,Aim to create and inspire positive change by delivering a range of sport activity programmes.,"Using football as the engagement hook, we provide education, mental health provision, poverty relief, employability, social connection, volunteering opportunities and positive support networks.",Activity Based,13:00,15:00,13:00-15:00,"Change Centre, South Road, Dundee, DD2 4SR, Scotland",56.471076,-3.04798
Dundee City,Street Soccer Scotland,Adult Drop-In Session,Scheduled Activity,Activity Based,Drop-In,Adults,Thursday,11:00:00,12:00:00,"Change Centre, South Road, Dundee",DD2 4SR,Justin Mulholland,07301 592676,justin@streetsoccer.org.uk,https://www.streetsoccer.org.uk/scotland/change-centre/,Yes,Free,,Age 16 +  from vulnerable backgrounds,Aim to create and inspire positive change by delivering a range of sport activity programmes.,"Using football as the engagement hook, we provide education, mental health provision, poverty relief, employability, social connection, volunteering opportunities and positive support networks.",Activity Based,11:00,12:00,11:00-12:00,"Change Centre, South Road, Dundee, DD2 4SR, Scotland",56.471076,-3.04798
Dundee City,Street Soccer Scotland,Adult Drop-In Session,Scheduled Activity,Activity Based,Drop-In,Adults,Thursday,13:00:00,15:00:00,"Change Centre, South Road, Dundee",DD2 4SR,Justin Mulholland,07301 592676,justin@streetsoccer.org.uk,https://www.streetsoccer.org.uk/scotland/change-centre/,Yes,Free,,Age 16 +  from vulnerable backgrounds,Aim to create and inspire positive change by delivering a range of sport activity programmes.,"Using football as the engagement hook, we provide education, mental health provision, poverty relief, employability, social connection, volunteering opportunities and positive support networks.",Activity Based,13:00,15:00,13:00-15:00,"Change Centre, South Road, Dundee, DD2 4SR, Scotland",56.471076,-3.04798
Dundee City,Street Soccer Scotland,Adult Drop-In Session,Scheduled Activity,Activity Based,Drop-In,Adults,Friday,11:30:00,12:30:00,"Change Centre, South Road, Dundee",DD2 4SR,Justin Mulholland,07301 592676,justin@streetsoccer.org.uk,https://www.streetsoccer.org.uk/scotland/change-centre/,Yes,Free,,Age 16 +  from vulnerable backgrounds,Aim to create and inspire positive change by delivering a range of sport activity programmes.,"Using football as the engagement hook, we provide education, mental health provision, poverty relief, employability, social connection, volunteering opportunities and positive support networks.",Activity Based,11:30,12:30,11:30-12:30,"Change Centre, South Road, Dundee, DD2 4SR, Scotland",56.471076,-3.04798
Dundee City,Street Soccer Scotland,Women'S Drop-In Session,Scheduled Activity,Activity Based,Drop-In,Adults,Tuesday,11:00:00,12:00:00,"Change Centre, South Road, Dundee",DD2 4SR,Justin Mulholland,07301 592676,justin@streetsoccer.org.uk,https://www.streetsoccer.org.uk/scotland/change-centre/,Yes,Free,,Women Age 16 +  from vulnerable backgrounds,Aim to create and inspire positive change by delivering a range of sport activity programmes.,"Using football as the engagement hook, we provide education, mental health provision, poverty relief, employability, social connection, volunteering opportunities and positive support networks.",Activity Based,11:00,12:00,11:00-12:00,"Change Centre, South Road, Dundee, DD2 4SR, Scotland",56.471076,-3.04798
Dundee City,Street Soccer Scotland,Women'S Drop-In Session,Scheduled Activity,Activity Based,Drop-In,Women,Wednesday,10:00:00,11:00,"Change Centre, South Road, Dundee",DD2 4SR,Justin Mulholland,07301 592676,justin@streetsoccer.org.uk,https://www.streetsoccer.org.uk/scotland/change-centre/,Yes,Free,,Women Age 16 +  from vulnerable backgrounds,Aim to create and inspire positive change by delivering a range of sport activity programmes.,"Using football as the engagement hook, we provide education, mental health provision, poverty relief, employability, social connection, volunteering opportunities and positive support networks.",Activity Based,10:00,11:00,10:00-11:00,"Change Centre, South Road, Dundee, DD2 4SR, Scotland",56.471076,-3.04798
Dundee City,Street Soccer Scotland,Adult Fitness,Scheduled Activity,Activity Based,Group,Adults,Wednesday,12:30:00,13:30:00,"Change Centre, South Road, Dundee",DD2 4SR,Justin Mulholland,07301 592676,justin@streetsoccer.org.uk,https://www.streetsoccer.org.uk/scotland/change-centre/,Yes,Free,,Age 16 +  from vulnerable backgrounds,Aim to create and inspire positive change by delivering a range of sport activity programmes.,"Using football as the engagement hook, we provide education, mental health provision, poverty relief, employability, social connection, volunteering opportunities and positive support networks.",Activity Based,12:30,13:30,12:30-13:30,"Change Centre, South Road, Dundee, DD2 4SR, Scotland",56.471076,-3.04798
Dundee City,Street Soccer Scotland,Adult Walking Group,Scheduled Activity,Activity Based,Group,Adults,Wednesday,13:00:00,14:30:00,"Change Centre, South Road, Dundee",DD2 4SR,Justin Mulholland,07301 592676,justin@streetsoccer.org.uk,https://www.streetsoccer.org.uk/scotland/change-centre/,Yes,Free,,Age 16 +  from vulnerable backgrounds,Aim to create and inspire positive change by delivering a range of sport activity programmes.,"Using football as the engagement hook, we provide education, mental health provision, poverty relief, employability, social connection, volunteering opportunities and positive support networks.",Activity Based,13:00,14:30,13:00-14:30,"Change Centre, South Road, Dundee, DD2 4SR, Scotland",56.471076,-3.04798
Dundee City,Street Soccer Scotland,Adult Drop-In Session,Scheduled Activity,Activity Based,Drop-In,Adults,Monday,11:00:00,13:00:00,"Douglas Community Centre, Balmoral Avenue, Dundee",DD4 8SD,Justin Mulholland,07301 592676,justin@streetsoccer.org.uk,https://www.streetsoccer.org.uk/scotland/change-centre/,Yes,Free,,Age 16 +  from vulnerable backgrounds,Aim to create and inspire positive change by delivering a range of sport activity programmes.,"Using football as the engagement hook, we provide education, mental health provision, poverty relief, employability, social connection, volunteering opportunities and positive support networks.",Activity Based,11:00,13:00,11:00-13:00,"Douglas Community Centre, Balmoral Avenue, Dundee, DD4 8SD, Scotland",56.478979,-2.902232
Dundee City,Street Soccer Scotland,Adult Drop-In Session,Scheduled Activity,Activity Based,Drop-In,Adults,Thursday,11:00:00,13:00:00,"Douglas Community Centre, Balmoral Avenue, Dundee",DD4 8SD,Justin Mulholland,07301 592676,justin@streetsoccer.org.uk,https://www.streetsoccer.org.uk/scotland/change-centre/,Yes,Free,,Age 16 +  from vulnerable backgrounds,Aim to create and inspire positive change by delivering a range of sport activity programmes.,"Using football as the engagement hook, we provide education, mental health provision, poverty relief, employability, social connection, volunteering opportunities and positive support networks.",Activity Based,11:00,13:00,11:00-13:00,"Douglas Community Centre, Balmoral Avenue, Dundee, DD4 8SD, Scotland",56.478979,-2.902232
Dundee City,Street Soccer Scotland,Walking Football,Scheduled Activity,Activity Based,Group,Older Adults,Friday,12:30:00,14:00:00,"Change Centre, South Road, Dundee",DD2 4SR,Jim McDonald,07803 610305,Johnandannmcd@gmail.com,https://www.walkingfootballscotland.org/find-a-session/2024/1/4/street-soccer-dundee,Yes,Paid,TBC,All age groups with a strong focus on the 50 plus age category,Not on Recovery Map,"To improve, maintain and promote the physical, mental and social wellbeing of older adults through walking football.",Activity Based,12:30,14:00,12:30-14:00,"Change Centre, South Road, Dundee, DD2 4SR, Scotland",56.471076,-3.04798
Dundee City,Ardler Complex Walking Football Club,Walking Football,Scheduled Activity,Activity Based,Group,Older Adults,Wednesday,16:00:00,18:00:00,"Ardler Complex, Turnberry Avenue, Dundee",DD2 3TP,Neil Whitton,07806 655152,neil.whitton@nhs.scot or mohrag_mitchell@msn.com,https://www.walkingfootballscotland.org/find-a-session/2019/4/26/ardler-complex-walking-football-club,Yes,Paid,£1.40 + voluntary £2 donation,All age groups with a strong focus on the 50 plus age category,Ardler Complex walking football and other sports.,"To improve, maintain and promote the physical, mental and social wellbeing of older adults through walking football.",Activity Based,16:00,18:00,16:00-18:00,"Ardler Complex, Turnberry Avenue, Dundee, DD2 3TP, Scotland",56.488118,-3.014678
Angus,Dundee United Sports Club,Walking Football,Scheduled Activity,Activity Based,Group,Older Adults,Monday,18:00:00,19:00:00,"Saltire Leisure Centre (Indoors), Arbroath",DD11 5JN,Steven Maloney,07739 350219,Dusc1984@outlook.com,https://www.walkingfootballscotland.org/find-a-session/dundee-united-sports-club,Yes,Unknown,,All age groups with a strong focus on the 50 plus age category,Not on Recovery Map,"To improve, maintain and promote the physical, mental and social wellbeing of older adults through walking football.",Activity Based,18:00,19:00,18:00-19:00,"Saltire Leisure Centre (Indoors), Arbroath, DD11 5JN, Scotland",56.569529,-2.580454
Dundee City,Dundee United Sports Club,Walking Football,Scheduled Activity,Activity Based,Group,Older Adults,Thursday,18:00:00,19:00:00,"Craigie Community Sports Arena, Dundee",DD4 7SY,Steven Maloney,07739 350219,Dusc1984@outlook.com,https://www.walkingfootballscotland.org/find-a-session/dundee-united-sports-club,Yes,Unknown,,All age groups with a strong focus on the 50 plus age category,Not on Recovery Map,"To improve, maintain and promote the physical, mental and social wellbeing of older adults through walking football.",Activity Based,18:00,19:00,18:00-19:00,"Craigie Community Sports Arena, Dundee, DD4 7SY, Scotland",56.475584,-2.918612
Dundee City,Walk & Talk Scotland,Walking Football,Scheduled Activity,Activity Based,Group,Older Adults,Sunday,13:00:00,14:00:00,"Fairfield Astro Turf (outdoor), Fairfield Community Sports Hub SCIO, Drumgeith Road, Dundee",DD4 0JX,Gordon Farquharson,0795 0227321,gordyfar1@gmail.com,https://www.walkingfootballscotland.org/find-a-session/2023/8/10/walk-and-talk-scotland,Yes,Unknown,,All age groups with a strong focus on the 50 plus age category,Not on Recovery Map,"To improve, maintain and promote the physical, mental and social wellbeing of older adults through walking football. Post match get-together at Drumgieth pavilion for tea/coffee and cakes and a chat.",Activity Based,13:00,14:00,13:00-14:00,"Fairfield Astro Turf (outdoor), Fairfield Community Sports Hub SCIO, Drumgeith Road, Dundee, DD4 0JX, Scotland",56.483096,-2.921193
Dundee City,Dundee FC Community Trust,Walking Football,Scheduled Activity,Activity Based,Group,Older Adults,Tuesday,17:00:00,18:00:00,"Gardyne Sports Centre, Gardyne Road, Dundee",DD5 1NY,James Morrison,,james@dfccommunitytrust.org.uk,https://www.walkingfootballscotland.org/find-a-session/dundeefcct,Yes,Paid,3,All age groups with a strong focus on the 50 plus age category,Not on Recovery Map,"To improve, maintain and promote the physical, mental and social wellbeing of older adults through walking football.",Activity Based,17:00,18:00,17:00-18:00,"Gardyne Sports Centre, Gardyne Road, Dundee, DD5 1NY, Scotland",56.472623,-2.912217
Dundee City,Dundee FC Community Trust,Walking Football,Scheduled Activity,Activity Based,Group,Older Adults,Friday,13:00:00,14:00:00,"Gardyne Sports Centre, Gardyne Road, Dundee",DD5 1NY,James Morrison,,james@dfccommunitytrust.org.uk,https://www.walkingfootballscotland.org/find-a-session/dundeefcct,Yes,Paid,3,All age groups with a strong focus on the 50 plus age category,Not on Recovery Map,"To improve, maintain and promote the physical, mental and social wellbeing of older adults through walking football.",Activity Based,13:00,14:00,13:00-14:00,"Gardyne Sports Centre, Gardyne Road, Dundee, DD5 1NY, Scotland",56.472623,-2.912217
Dundee City,Dundee East Football Community Hub,Walking Football,Scheduled Activity,Activity Based,Group,Older Adults,Wednesday,20:00:00,21:00:00,"Change Centre Dundee, South Rd, Dundee",DD2 4SR,Steve Ross,Not listed,steveross1958@yahoo.co.uk,https://www.walkingfootballscotland.org/find-a-session/dundeeeast,Yes,Paid,4,All age groups with a strong focus on the 50 plus age category,Not on Recovery Map,"To improve, maintain and promote the physical, mental and social wellbeing of older adults through walking football.",Activity Based,20:00,21:00,20:00-21:00,"Change Centre Dundee, South Rd, Dundee, DD2 4SR, Scotland",56.471076,-3.04798
Dundee City,Dundee East Football Community Hub,Walking Football,Scheduled Activity,Activity Based,Group,Older Adults,Sunday,09:15:00,10:30:00,"Douglas Sports Centre, Baldovie Terrace, Douglas, Dundee",DD4 8TF,Steve Ross,Not listed,steveross1958@yahoo.co.uk,https://www.walkingfootballscotland.org/find-a-session/dundeeeast,Yes,Paid,4,All age groups with a strong focus on the 50 plus age category,Not on Recovery Map,"To improve, maintain and promote the physical, mental and social wellbeing of older adults through walking football.",Activity Based,09:15,10:30,09:15-10:30,"Douglas Sports Centre, Baldovie Terrace, Douglas, Dundee, DD4 8TF, Scotland",56.477505,-2.892824
Dundee City,St James Walking Football Team,Walking Football,Scheduled Activity,Activity Based,Group,Older Adults,Tuesday,18:00:00,19:00:00,"134 Happyhillock Road, Dundee",DD4 8LR,Alex Fyfe,07810 697 092,Not listed,https://www.walkingfootballscotland.org/find-a-session/stjamesdundee,Yes,Paid,5,All age groups with a strong focus on the 50 plus age category,Not on Recovery Map,"To improve, maintain and promote the physical, mental and social wellbeing of older adults through walking football.",Activity Based,18:00,19:00,18:00-19:00,"134 Happyhillock Road, Dundee, DD4 8LR, Scotland",56.482483,-2.927297
Dundee City,Dundee United Community Trust,Walking Football,Scheduled Activity,Activity Based,Group,Older Adults,Sunday,09:30:00,11:00:00,"Harp Ground, Beechwood Park, Lundie Avenue, Dundee",DD2 3NY,Lisa Croll,01382 833166,lisa.croll@dundeeunitedct.co.uk,https://www.walkingfootballscotland.org/find-a-session/dundee-united-community-trust,Yes,Paid,3,All age groups with a strong focus on the 50 plus age category,Not on Recovery Map,"To improve, maintain and promote the physical, mental and social wellbeing of older adults through walking football.",Activity Based,09:30,11:00,09:30-11:00,"Harp Ground, Beechwood Park, Lundie Avenue, Dundee, DD2 3NY, Scotland",56.477184,-3.002069
Dundee City,Just Bee Productions,Counselling Service,By Appointment,Mental Health,One-To-One,Adults,Monday,10:00:00,17:00:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee",DD1 4EH,Unknown,Not listed,Not listed,https://www.justbeeproductions.co.uk/,No,Free,,Unknown,Not on Recovery Map,Bringing people together – A friendly space where the community can connect and feel welcome.,Mental Health,10:00,17:00,10:00-17:00,"Meadowside St Paul's Church, 118 Nethergate, Dundee, DD1 4EH, Scotland",56.458319,-2.973039
Dundee City,Just Bee Productions,Dryve Nights,Scheduled Activity,Activity Based,Group,Adults,Unknown,Various,Various,"Meadowside St Paul's Church, 118 Nethergate, Dundee",DD1 4EH,Unknown,Not listed,Not listed,https://www.justbeeproductions.co.uk/dryve,Yes,Unknown,,Unknown,Offering creative release and opportunities to nurture and discover new talents. An outlet to perform and share talents in a safe environment.,DRYve is an initiative that aims to provide high quality entertainment at alcohol free events. Established in January 2017 these have been running successfully in locations across Dundee City on a  monthly basis.,Activity Based,,,Various,"Meadowside St Paul's Church, 118 Nethergate, Dundee, DD1 4EH, Scotland",56.458319,-2.973039
Dundee City,Just Bee Productions,Women'S Group,Scheduled Activity,Peer Support,Group,Women,Monday,10:00:00,Unknown,"Meadowside St Paul's Church, 118 Nethergate, Dundee",DD1 4EH,Unknown,07341 255354,Not listed,https://www.justbeeproductions.co.uk/template,Yes,Free,,Women,Not on Recovery Map,Bringing people together – A friendly space where the community can connect and feel welcome.,Peer Support,10:00,,10:00-Unknown,"Meadowside St Paul's Church, 118 Nethergate, Dundee, DD1 4EH, Scotland",56.458319,-2.973039
Dundee City,Just Bee Productions,Guitar Group,Scheduled Activity,Activity Based,Group,All Ages,Monday,13:00:00,Unknown,"Meadowside St Paul's Church, 118 Nethergate, Dundee",DD1 4EH,Unknown,Not listed,Not listed,https://www.justbeeproductions.co.uk/template,Yes,Free,,Open to all,Not on Recovery Map,Bringing people together – A friendly space where the community can connect and feel welcome.,Activity Based,13:00,,13:00-Unknown,"Meadowside St Paul's Church, 118 Nethergate, Dundee, DD1 4EH, Scotland",56.458319,-2.973039
Dundee City,Just Bee Productions,Men'S Group,Scheduled Activity,Peer Support,Group,Men,Tuesday,13:00:00,Unknown,"Meadowside St Paul's Church, 118 Nethergate, Dundee",DD1 4EH,Unknown,Not listed,Not listed,https://www.justbeeproductions.co.uk/template,Yes,Free,,Men,Not on Recovery Map,Bringing people together – A friendly space where the community can connect and feel welcome.,Peer Support,13:00,,13:00-Unknown,"Meadowside St Paul's Church, 118 Nethergate, Dundee, DD1 4EH, Scotland",56.458319,-2.973039
